iter	Passed	Remaining
401	14885	22143
402	14924	22108
403	14961	22072
404	14999	22036
405	15035	21997
406	15071	21959
407	15109	21923
408	15150	21891
409	15187	21855
410	15222	21815
411	15262	21783
412	15302	21749
413	15338	21711
414	15375	21674
415	15411	21636
416	15447	21597
417	15481	21556
418	15516	21515
419	15552	21477
420	15591	21442
421	15626	21402
422	15661	21363
423	15700	21329
424	15734	21287
425	15769	21247
426	15806	21211
427	15843	21174
428	15879	21135
429	15916	21098
430	15952	21060
431	15989	21023
432	16028	20988
433	16063	20949
434	16097	20908
435	16132	20868
436	16168	20830
437	16207	20795
438	16245	20760
439	16281	20721
440	16323	20690
441	16357	20650
442	16393	20611
443	16432	20577
444	16469	20540
445	16505	20502
446	16549	20474
447	16586	20436
448	16621	20397
449	16656	20357
450	16693	20321
451	16735	20289
452	16768	20248
453	16806	20212
454	16844	20175
455	16881	20138
456	16923	20108
457	16959	20070
458	16996	20032
459	17033	19995
460	17070	19958
461	17105	19919
462	17141	19880
463	17178	19844
464	17213	19805
465	17252	19770
466	17294	19738
467	17331	19701
468	17369	19665
469	17404	19626
470	17439	19586
471	17475	19548
472	17509	19508
473	17548	19473
474	17594	19446
475	17630	19407
476	17666	19370
477	17701	19330
478	17743	19299
479	17780	19262
480	17820	19227
481	17856	19189
482	17892	19151
483	17928	19113
484	17968	19079
485	18003	19041
486	18040	19003
487	18076	18965
488	18113	18928
489	18148	18889
490	18183	18849
491	18218	18811
492	18262	18781
493	18300	18744
494	18337	18707
495	18374	18671
496	18411	18633
497	18447	18596
498	18487	18562
499	18524	18524
500	18562	18488
501	18600	18452
502	18637	18415
503	18674	18377
504	18711	18340
505	18747	18302
506	18783	18264
507	18831	18238
508	18864	18197
509	18899	18158
510	18935	18119
511	18969	18080
512	19002	18039
513	19036	17999
514	19069	17959
515	19104	17919
516	19138	17879
517	19174	17841
518	19207	17801
519	19244	17764
520	19293	17737
521	19329	17700
522	19367	17663
523	19402	17625
524	19439	17588
525	19477	17551
526	19512	17512
527	19548	17475
528	19585	17438
529	19623	17402
530	19660	17364
531	19696	17326
532	19732	17288
533	19770	17252
534	19812	17219
535	19851	17185
536	19888	17148
537	19925	17111
538	19961	17072
539	19997	17035
540	20032	16996
541	20067	16957
542	20104	16920
543	20140	16882
544	20176	16844
545	20211	16806
546	20251	16771
547	20292	16737
548	20329	16700
549	20366	16663
550	20402	16625
551	20439	16588
552	20474	16549
553	20512	16513
554	20547	16474
555	20583	16437
556	20618	16398
557	20654	16360
558	20690	16323
559	20732	16290
560	20770	16253
561	20811	16219
562	20847	16181
563	20883	16144
564	20919	16105
565	20957	16069
566	20991	16030
567	21027	15992
568	21063	15954
569	21099	15916
570	21134	15878
571	21172	15842
572	21208	15804
573	21253	15773
574	21294	15739
575	21330	15701
576	21366	15663
577	21405	15627
578	21441	15590
579	21477	15552
580	21514	15515
581	21550	15478
582	21588	15441
583	21627	15406
584	21666	15370
585	21701	15331
586	21740	15295
587	21777	15259
588	21816	15223
589	21853	15186
590	21889	15148
591	21923	15109
592	21958	15071
593	21994	15032
594	22029	14994
595	22063	14956
596	22101	14919
597	22135	14880
598	22168	14840
599	22204	14802
600	22237	14763
601	22272	14725
602	22310	14688
603	22346	14650
604	22385	14615
605	22419	14576
606	22460	14542
607	22496	14504
608	22534	14467
609	22570	14430
610	22607	14393
611	22643	14355
612	22678	14317
613	22720	14283
614	22759	14247
615	22797	14211
616	22837	14176
617	22875	14140
618	22913	14103
619	22949	14065
620	22987	14029
621	23023	13992
622	23059	13954
623	23094	13916
624	23129	13877
625	23164	13839
626	23203	13803
627	23243	13768
628	23280	13731
629	23315	13693
630	23350	13655
631	23386	13617
632	23423	13580
633	23458	13542
634	23493	13504
635	23528	13466
636	23563	13428
637	23600	13390
638	23635	13352
639	23676	13318
640	23716	13282
641	23753	13245
642	23791	13209
643	23828	13172
644	23866	13135
645	23905	13100
646	23941	13062
647	23979	13026
648	24017	12989
649	24053	12951
650	24089	12914
651	24128	12878
652	24164	12840
653	24200	12803
654	24239	12767
655	24272	12728
656	24309	12691
657	24344	12653
658	24382	12616
659	24416	12578
660	24451	12540
661	24488	12503
662	24523	12465
663	24557	12426
664	24596	12390
665	24632	12353
666	24668	12315
667	24704	12278
668	24741	12241
669	24783	12206
670	24823	12171
671	24860	12134
672	24896	12096
673	24933	12059
674	24969	12022
675	25006	11985
676	25043	11948
677	25078	11910
678	25114	11873
679	25149	11835
680	25185	11797
681	25225	11762
682	25268	11727
683	25307	11691
684	25344	11654
685	25382	11618
686	25418	11580
687	25452	11542
688	25490	11505
689	25525	11467
690	25559	11429
691	25596	11392
692	25632	11355
693	25667	11317
694	25709	11282
695	25746	11245
696	25784	11208
697	25820	11171
698	25857	11134
699	25897	11098
700	25934	11061
701	25970	11024
702	26006	10986
703	26042	10949
704	26077	10911
705	26111	10873
706	26150	10837
707	26188	10800
708	26221	10762
709	26255	10724
710	26290	10686
711	26326	10648
712	26362	10611
713	26398	10574
714	26441	10539
715	26476	10501
716	26511	10464
717	26546	10426
718	26580	10388
719	26617	10351
720	26653	10314
721	26694	10278
722	26733	10242
723	26770	10205
724	26807	10168
725	26845	10131
726	26894	10099
727	26930	10061
728	26966	10024
729	27002	9987
730	27038	9949
731	27074	9912
732	27110	9875
733	27147	9838
734	27183	9800
735	27226	9765
736	27264	9729
737	27300	9692
738	27337	9655
739	27376	9618
740	27413	9581
741	27450	9544
742	27485	9507
743	27521	9469
744	27555	9431
745	27592	9394
746	27629	9357
747	27669	9321
748	27707	9285
749	27746	9248
750	27784	9212
751	27825	9176
752	27867	9141
753	27904	9104
754	27941	9067
755	27976	9029
756	28017	8993
757	28052	8955
758	28089	8919
759	28126	8881
760	28161	8844
761	28197	8807
762	28234	8770
763	28269	8732
764	28309	8696
765	28344	8658
766	28381	8621
767	28417	8584
768	28452	8546
769	28486	8509
770	28524	8472
771	28559	8434
772	28595	8397
773	28629	8359
774	28667	8322
775	28703	8285
776	28747	8250
777	28792	8215
778	28830	8179
779	28871	8143
780	28909	8106
781	28945	8069
782	28983	8032
783	29019	7995
784	29054	7957
785	29090	7920
786	29125	7882
787	29160	7845
788	29201	7809
789	29244	7773
790	29279	7736
791	29315	7699
792	29353	7662
793	29391	7625
794	29430	7588
795	29465	7551
796	29500	7514
797	29536	7476
798	29573	7439
799	29610	7402
800	29646	7365
801	29683	7328
802	29719	7290
803	29760	7254
804	29795	7217
805	29829	7179
806	29865	7142
807	29903	7105
808	29938	7068
809	29972	7030
810	30005	6992
811	30038	6954
812	30072	6917
813	30108	6879
814	30143	6842
815	30176	6804
816	30211	6766
817	30248	6730
818	30290	6694
819	30330	6657
820	30365	6620
821	30404	6583
822	30440	6546
823	30475	6509
824	30514	6472
825	30549	6435
826	30598	6400
827	30635	6363
828	30671	6326
829	30706	6289
830	30746	6252
831	30782	6215
832	30821	6179
833	30865	6143
834	30902	6106
835	30938	6069
836	30974	6032
837	31011	5995
838	31048	5958
839	31083	5920
840	31118	5883
841	31154	5846
842	31192	5809
843	31236	5773
844	31272	5736
845	31308	5699
846	31345	5662
847	31382	5625
848	31423	5588
849	31459	5551
850	31497	5514
851	31531	5477
852	31565	5439
853	31600	5402
854	31636	5365
855	31674	5328
856	31712	5291
857	31753	5255
858	31796	5219
859	31833	5182
860	31871	5145
861	31907	5108
862	31950	5072
863	31986	5034
864	32021	4997
865	32055	4960
866	32093	4923
867	32125	4885
868	32158	4847
869	32195	4810
870	32233	4773
871	32268	4736
872	32303	4699
873	32339	4662
874	32376	4625
875	32417	4588
876	32451	4551
877	32487	4514
878	32524	4477
879	32560	4440
880	32595	4402
881	32632	4365
882	32669	4328
883	32703	4291
884	32744	4254
885	32781	4217
886	32818	4180
887	32857	4144
888	32896	4107
889	32934	4070
890	32971	4033
891	33007	3996
892	33042	3959
893	33079	3922
894	33115	3885
895	33149	3847
896	33187	3810
897	33230	3774
898	33264	3737
899	33302	3700
900	33338	3663
901	33375	3626
902	33411	3589
903	33444	3551
904	33479	3514
905	33514	3477
906	33550	3440
907	33587	3403
908	33622	3365
909	33659	3329
910	33695	3291
911	33736	3255
912	33774	3218
913	33811	3181
914	33848	3144
915	33884	3107
916	33921	3070
917	33958	3033
918	33995	2996
919	34032	2959
920	34066	2922
921	34100	2884
922	34133	2847
923	34167	2810
924	34202	2773
925	34236	2735
926	34273	2699
927	34308	2661
928	34343	2624
929	34380	2587
930	34420	2551
931	34455	2513
932	34490	2476
933	34527	2439
934	34562	2402
935	34599	2365
936	34638	2328
937	34676	2292
938	34713	2255
939	34752	2218
940	34790	2181
941	34839	2145
942	34877	2108
943	34912	2071
944	34947	2034
945	34984	1997
946	35021	1959
947	35055	1922
948	35089	1885
949	35128	1848
950	35165	1811
951	35207	1775
952	35242	1738
953	35281	1701
954	35317	1664
955	35357	1627
956	35393	1590
957	35430	1553
958	35467	1516
959	35504	1479
960	35539	1442
961	35574	1405
962	35615	1368
963	35651	1331
964	35688	1294
965	35726	1257
966	35763	1220
967	35799	1183
968	35836	1146
969	35871	1109
970	35907	1072
971	35941	1035
972	35978	998
973	36012	961
974	36048	924
975	36084	887
976	36120	850
977	36153	813
978	36188	776
979	36226	739
980	36262	702
981	36297	665
982	36334	628
983	36369	591
984	36406	554
985	36442	517
986	36479	480
987	36515	443
988	36551	406
989	36587	369
990	36623	332
991	36659	295
992	36699	258
993	36739	221
994	36776	184
995	36814	147
996	36850	110
997	36887	73
998	36925	36
999	36963	0
