iter	MultiClass
0	1.771266609
1	1.453925127
2	1.230954
3	1.077949086
4	0.9521230477
5	0.8583231458
6	0.7690914721
7	0.6947884762
8	0.6334481317
9	0.5804381374
10	0.5303086191
11	0.4840301617
12	0.4463130594
13	0.4111187201
14	0.3775397058
15	0.3478232429
16	0.3217714472
17	0.2984158936
18	0.2749707413
19	0.2551227568
20	0.2372754706
21	0.2213130107
22	0.2063361604
23	0.1936810379
24	0.1814060688
25	0.1697246465
26	0.1591374542
27	0.1490524534
28	0.1407543368
29	0.1331104096
30	0.1262695073
31	0.1190948625
32	0.1128191145
33	0.1081237668
34	0.1044361142
35	0.09812341932
36	0.09347262256
37	0.0893713385
38	0.08494631531
39	0.08146197059
40	0.07973946421
41	0.07655174499
42	0.07311516631
43	0.07087378327
44	0.06769113041
45	0.06488581408
46	0.06356417665
47	0.06111008666
48	0.05903359721
49	0.0569386471
50	0.05527823375
51	0.05433368741
52	0.05344982584
53	0.05263226409
54	0.05166342253
55	0.05005455221
56	0.04906479875
57	0.04790155688
58	0.04677632893
59	0.04614782203
60	0.04427502177
61	0.04277111305
62	0.04239754436
63	0.04177501617
64	0.04123631363
65	0.04016719694
66	0.03893816396
67	0.03818571105
68	0.03783471555
69	0.03738146951
70	0.03665662792
71	0.03551896275
72	0.03476378464
73	0.03428426915
74	0.03382979493
75	0.03308582301
76	0.0327795428
77	0.03216207655
78	0.03167924349
79	0.03122835638
80	0.03034076201
81	0.02969165746
82	0.02936479373
83	0.0290896193
84	0.02833458965
85	0.02792675508
86	0.02764259942
87	0.02686458051
88	0.0265869318
89	0.02589706833
90	0.02563368643
91	0.02542049742
92	0.02492891895
93	0.02474668773
94	0.02433585732
95	0.02388807825
96	0.02375706463
97	0.02333781025
98	0.02283231987
99	0.02270282222
100	0.02252578815
101	0.02241600779
102	0.0220121555
103	0.02151194133
104	0.02082182798
105	0.02007667823
106	0.01943558506
107	0.01928520232
108	0.01908314679
109	0.01896982486
110	0.01872327068
111	0.01843680122
112	0.01804235866
113	0.01765606667
114	0.01736237355
115	0.01700875423
116	0.01672804584
117	0.01641274457
118	0.01623107131
119	0.0161143944
120	0.01600387347
121	0.01559941606
122	0.01547553381
123	0.0153709186
124	0.01526708908
125	0.01512858035
126	0.01496354617
127	0.01478997532
128	0.01464102584
129	0.0144416432
130	0.01421232907
131	0.01412104832
132	0.01399015669
133	0.01392645092
134	0.01378273909
135	0.01338286794
136	0.01330952622
137	0.01316113661
138	0.01301329016
139	0.01280840017
140	0.01261592176
141	0.0124539705
142	0.0122283098
143	0.01207808682
144	0.01200463409
145	0.01188230767
146	0.01181300876
147	0.01171019921
148	0.01156977192
149	0.01150779865
150	0.01137972217
151	0.0113026956
152	0.01121680267
153	0.01114536864
154	0.01102309775
155	0.01090084425
156	0.01079924559
157	0.0105389131
158	0.01049545689
159	0.01024905125
160	0.0101654729
161	0.01006107481
162	0.00999768266
163	0.009915366568
164	0.009850156178
165	0.009690120267
166	0.009583609662
167	0.009453651261
168	0.009356300586
169	0.009251634411
170	0.009178523687
171	0.009107324425
172	0.009072723749
173	0.008969313601
174	0.008861147836
175	0.008770408037
176	0.008689202048
177	0.008617153438
178	0.008547230586
179	0.008466372004
180	0.008394060456
181	0.008286146294
182	0.008237563069
183	0.0081765834
184	0.008131579676
185	0.008083471997
186	0.008052605603
